,Date,Month-Year,Warehouse Code,Customer Code,Order Number,Order Line Number,Item Code,Units,Euros,Conversion Ratio,Warehouse Name,Warehouse Country,Warehouse City,Customer Country,Customer City,Road,Rail,Sea,Air,Location,GPS 1,GPS 2,KG,CO2 Road,CO2 Rail,CO2 Sea,CO2 Air,CO2 Total
13,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,2,8128741-41,2240.0,5325.82,0.03392,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,75.9808,2.1039047049216,0.0,0.0,0.0,2.1039047049216
14,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,3,1199005728-28,576.0,1231.08,0.054,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,31.104,0.861268267008,0.0,0.0,0.0,0.861268267008
15,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,4,802064-64,1120.0,878.19,0.0184,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,20.608,0.5706345308160001,0.0,0.0,0.0,0.5706345308160001
16,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,5,802077-77,960.0,1159.49,0.019,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,18.24,0.5050647244800001,0.0,0.0,0.0,0.5050647244800001
17,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,6,9202962-62,375.0,931.91,0.0915,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,34.3125,0.9501114780000002,0.0,0.0,0.0,0.9501114780000002
18,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,7,895956-56,560.0,725.93,0.0178,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,9.968,0.276013441536,0.0,0.0,0.0,0.276013441536
19,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,8,897785-85,560.0,676.37,0.019,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,10.64,0.29462108928,0.0,0.0,0.0,0.29462108928
20,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,9,902126-26,1120.0,1806.0,0.019,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,21.28,0.58924217856,0.0,0.0,0.0,0.58924217856
21,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,10,9078342-42,240.0,490.2,0.078,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,18.72,0.5183559014400001,0.0,0.0,0.0,0.5183559014400001
22,2021-01-08 00:00:00.000,1-2021,3403434,5029913-13,20258208,11,927818-18,2160.0,6870.31,0.05689,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,FRANCE,MOISSY-CRAMAYEL,288.437,0.0,0.0,0.0,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563,122.8824,3.4026077576448004,0.0,0.0,0.0,3.4026077576448004
